,vulnerabilities,patch_delay,access_complexity,security_awareness,patch_complexity,firewall_strength,TTC
0,39,6.2189898750870904,-35.18058755957731,0.2967866820198506,6.87654692324058,2,2269.2802312384724
1,29,28.236158417272833,-11.12371777578769,0.5413696101572687,2.385275588046145,2,1737.8549145845238
2,15,0.7362833108993309,-34.105696790383,0.34522995366997244,9.793285088906584,1,1284.3981210978104
3,43,14.542335959424944,32.299739788024866,0.4142009255718303,5.9029500428451,3,580.6949698283576
4,8,25.475548614672693,-22.30547497197806,0.7324138648126686,2.2211948601305136,4,1542.9619297793922
5,21,18.002677807564787,-5.849967017483426,0.8816624823327127,9.042717280115204,2,1011.392537055469
6,39,9.579404985648512,25.70681473062995,0.12149539108776541,1.6717458797148592,1,564.9669141065987
7,19,54.4933850612517,28.929996551112637,0.6346392564873805,9.169618898597614,4,551.5281072779742
8,23,38.25911794029568,-35.285053850210026,0.5821438075777985,9.969090906600842,3,2261.119503779111
9,11,-1.5728950769850103,43.26621135091169,0.11841503917593188,7.303886192408535,3,-1019.5780112877387
10,11,-26.290788504453587,19.22758674669005,0.21189433044010908,7.934024989665908,4,-621.8379315450873
11,24,20.158709495129322,-42.268113583216056,0.31100249473268027,4.035725528207378,3,2378.560904263254
12,36,7.475819445670157,-52.10863583026452,0.16693107081750147,9.474191674605404,2,2607.0814138978076
13,40,52.26986989566501,0.3672115895172905,0.2437294825243418,5.767425694975309,2,1940.6661885855272
14,24,30.624790171021672,35.00375957267235,0.2676007988617075,7.591496019377994,2,44.83045723535742
15,3,23.926131640057243,36.02863449603921,0.3356738330390596,9.316969443201515,3,-697.807956322525
16,22,1.3885461386228424,15.246675088993701,0.749390452801159,9.776619783779575,2,119.51927873924444
17,2,-25.270962250017273,2.9469935330730346,0.5719122038506007,8.498839209370068,1,-547.8856846853561
18,24,-4.93888906103946,21.469506763160208,0.9862466719514015,3.7271575628382703,2,114.475183480385
19,44,15.30484282972331,-33.21322057557034,0.414735826967471,9.698927648968741,2,2415.4386069992247
20,30,-50.887402790274365,68.47951452101566,0.753865073836925,6.653075781192146,3,-1863.3144137612685
21,38,38.25141878957032,67.95753672490082,0.8714684213765338,9.375782287167638,2,-400.1312838843901
22,2,63.011320052541386,18.152492584827908,0.6789784930380419,7.084945232329167,4,554.9420584328496
23,21,-57.348178711122486,8.89201679971408,0.411864740417496,3.7651506566294843,1,-507.0266237058795
24,33,-41.00646653040607,-15.456838906374813,0.753594630745753,4.330220717285344,3,965.5756092507017
25,12,7.889873926994202,22.149953831986434,0.20366713777268486,5.954245993926464,1,-285.58344733439895
26,22,-16.47742746904802,-26.652694840671074,0.3275521651801324,8.110133574038938,4,1241.229130211843
27,44,8.8271930149502,-87.94448123982123,0.5466852550992888,3.8618429620630144,3,4213.493888420898
28,25,-1.1502210967231123,-107.56429201964346,0.5754093872861483,6.217580495207729,3,4006.158053747429
29,49,-29.71455558467163,-30.979933326539467,0.022141475472629457,4.110624942187614,2,1952.4023192580978
30,27,39.652190205354685,7.255124916731106,0.9451141887560087,8.341924641715964,1,1091.788524823563
31,42,14.935498157285474,14.278869358139309,0.69662727121739,5.200552843911554,4,1206.9824848391977
32,28,-15.79225924184816,-18.470280340371396,0.49570375023189106,1.690505441675967,4,1395.734323545856
33,16,46.150753439824626,6.673406685716133,0.9331272344083084,2.4944726933338273,3,1167.8026142842957
34,15,-14.25217864681258,-9.96913428218124,0.4390955652508285,1.5499420085766906,2,654.6141522431352
35,47,-36.255215501166006,-38.972510306005496,0.9804355702703718,5.493726514128927,3,2144.564218299331
36,44,6.505354692632065,-1.1497803587650073,0.5122847572434851,1.9570356761340446,3,1627.7781375800184
37,3,11.59472869667997,33.51828449462597,0.11428576999797946,2.027259723786689,3,-611.236734573651
38,37,16.957506766565373,-37.16246990985289,0.7648009724592773,9.469434340345394,3,2450.2896642513324
39,7,21.890533799574616,-37.14418452078792,0.6788977250778405,8.853895649584498,4,1691.9423543385433
40,21,16.48374185733072,-41.770023758086325,0.7729867213055868,5.068779371302294,4,2298.6841049820027
41,9,15.264809243475227,-76.46074938032463,0.9514420287256811,9.872247887651852,3,2769.815799902778
42,39,-16.21261400924494,-18.208094965880747,0.7764893026510181,1.001678753535968,3,1697.1504608182877
43,18,-19.42232823711661,29.56344451810124,0.6113366022166469,6.525815106460544,2,-649.7246621149135
44,4,23.270947487773544,7.956643353350508,0.8573089023608409,6.5478535963468305,3,296.9472766212831
45,25,8.303695320996631,-5.770035362252265,0.6732464393545315,5.1169875028289935,4,1201.1880625906672
46,14,25.607372184587664,6.162591929606756,0.4081190568259231,4.572531756408636,1,585.3251891981572
47,9,-50.21831466882796,-18.559259497166327,0.8856197642417732,5.098448219325468,4,249.58546753532647
48,26,-14.023591472527816,-76.91546549053889,0.22190046078437287,4.734643924717124,2,2882.4533756027827
49,2,58.21056705731667,32.34875127258263,0.7146412749087242,7.574432297340694,4,44.42227514805964
50,20,17.57599457042321,43.844982951386044,0.8815634549407569,2.2181989147595567,1,-370.7307259437433
51,28,9.86651352937458,-28.126271042711483,0.7313165197032963,2.778752985320171,3,2001.1553622118845
52,47,22.23773100909023,-5.033424824262232,0.6972754190538569,2.624664055531812,1,1947.4200349613736
53,7,67.25351577598543,-8.479966842406407,0.752638294071836,3.362235266091381,3,1631.4643827199302
54,44,60.94148626861084,15.051552376981661,0.4650552483006444,5.72732576903425,3,1837.4823240076357
55,8,-46.385622719377814,68.5957382650516,0.874170682157026,2.0008787260439687,4,-2246.678773798912
56,47,-35.31503477208105,47.39164981157222,0.2034364751360912,8.813523657938537,4,-549.9860537564189
57,35,-47.402319666523766,-14.07656901655584,0.1273864160003393,3.676253781776251,4,904.0504472149553
58,14,-21.413236668207883,22.69855446000948,0.28550878011851155,2.462841887218371,2,-509.44046245809204
59,17,2.6475789595677113,51.17427474290851,0.5315773967749932,7.08059178638419,4,-902.9192628759695
60,36,8.260454322033898,17.333806575791122,0.5105617954093381,1.3427767053938735,2,813.4364433682383
61,40,-44.91436229561758,0.812023822393102,0.8205987576765866,6.579717083867478,4,625.8702999824674
62,4,-55.02055479107328,18.840003786687433,0.4045686564040174,7.283785876088498,3,-1272.945950152726
63,2,-21.943741608663515,-27.13086090253893,0.48434442629150865,2.9342487824804726,2,619.7423258496643
64,6,28.485137968138627,-21.29124496416324,0.013367683259395635,1.3776766609927087,1,1271.6038480636857
65,42,33.710887350809365,-41.561369408043895,0.4097392364429391,4.2728082302750465,2,3045.6831209681955
66,4,52.17474578013057,13.282580662809728,0.6477742329503421,1.8873480721774283,2,633.5137543802698
67,29,0.030092472246578628,-4.256116240889527,0.015508330626592182,2.048300647060034,1,995.4998030716944
68,18,25.84460471170316,-31.924722453923188,0.28088196518624375,3.288351083003781,2,1937.4749791432896
69,26,31.296848831489804,-5.567176464820203,0.20795635928938994,3.659211321640834,3,1509.5727423843803
70,44,-13.90577098017864,19.7999304305268,0.04198542890958823,5.769733069192785,4,586.1147916134232
71,34,12.635346445913985,77.58849223991967,0.4792600899145375,7.1055269695271175,1,-1226.5428869107766
72,10,20.761153771292616,41.48271458815432,0.1817232932281565,6.334938467831663,4,-567.1375388388566
73,36,-26.274728512553725,-90.3659142992936,0.7430815396313801,2.335243035605651,3,3581.0225162393494
74,14,50.2628851332233,10.572338672813828,0.8479278837633485,2.548774292073638,1,925.6039974374811
75,31,-0.16436848160079576,58.17297050851418,0.5455851826691478,8.90892324813623,4,-790.2486396318936
76,48,3.6110568444001774,-52.5149396484093,0.9817073425211416,6.025170835577023,4,3230.925841629006
77,15,-27.420241398263734,23.06237080849695,0.45047857147059533,8.8294404960792,3,-695.1549735144692
78,8,-22.382785876325997,-8.465687421241837,0.5133682102249155,4.343918601878869,4,315.98811148540386
79,14,-64.89543802496027,47.011621236646434,0.9892177539577501,6.5296000668819145,3,-1880.746137018924
80,23,2.654676292558362,17.17028780053809,0.23154843596504882,5.712970744491496,2,181.3979771864998
81,40,76.17067628925918,-34.360618182368256,0.9425459396769053,3.8721114083841632,3,3533.557154021633
82,21,-29.558583443134616,-7.034059131624783,0.042837555119113246,5.229238348302358,2,365.3435171579933
83,16,90.28590784464919,-4.667827041904927,0.4463868902631948,5.522417891442388,1,1912.2754670872037
84,45,43.427537878372405,-3.9271285924019708,0.07000351213306577,2.806938772810107,4,2280.8384553569012
85,18,-13.20766342931326,45.77051779101052,0.729234742913643,3.8350933513905843,3,-890.6298240740039
86,47,1.8179411445663556,-32.7047968556092,0.6084089358800178,8.12268775456278,3,2418.207727593905
87,24,-3.05300923744812,41.12205238644735,0.7066342634675964,9.242094155087145,4,-526.7952240362372
88,26,52.18491920193134,-11.089987036860805,0.37448039996801696,4.238146841907695,4,2047.552340345039
89,25,16.510471903538807,9.940444253166596,0.3694819340313803,3.7627505398811634,1,686.0995395503082
90,45,36.459221458654426,3.8951034512413623,0.045319278960894605,2.756774481146943,1,1762.8704904811307
91,41,11.745155360840448,0.12778647672661392,0.3499449395296398,7.106420517855231,3,1403.5292194692292
92,29,-2.359175617838515,0.4558866221871072,0.9292884022620594,3.9078973149970357,1,857.7711909655757
93,15,10.792700952121429,59.294342330840834,0.37922653718044896,9.889745851892696,2,-1308.8267374109275
94,45,-11.20832701616244,34.697996996245784,0.83136770622197,3.931163218575579,1,166.35037564300129
95,1,-42.56612130412693,-13.508627583197196,0.8423255047499341,4.547224421043653,1,-196.11655298918308
96,25,25.410657278699524,64.31149016488365,0.37324115637923383,6.430007765908313,3,-774.9305599767231
97,7,-44.034933450292606,11.987242959714113,0.631988680396189,8.215158638721745,2,-878.5767447034362
98,9,-7.065025303855265,15.304970372955772,0.09537160227305863,5.225667988110703,1,-385.4401634167546
99,24,-12.195928628462527,-32.49276317325566,0.1036785807342765,4.803904304100625,2,1496.637010248765
100,1,20.300617931622106,-18.899946336205602,0.04865766366171331,9.960740502353275,2,730.236327897989
101,44,47.94113754800587,-26.540140317087026,0.5810150933751095,1.0944427702595,2,2981.4469694336367
